name,category,description,primary_user,status,skill_type,archetype,agent_pattern,risk_tier,action_mode,human_approval,delivery_wave,tooling_data,validation_focus,scheduled_agent
account-anomaly-screener,Banking,"Identify unusual account activity, explain the contributing signals, and prepare evidence for customer or fraud-team review; never make a fraud determination or block an account.",Consumer / fraud analyst / service agent,existing (updated),Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
bank-statement-analyzer,Banking,"Extract income, recurring obligations, cash-flow trends, fees, and anomalies from one or more statements with source-linked calculations and confidence flags.",Consumer / relationship manager / credit analyst,existing (updated),Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
financial-spreading-assistant,Banking,"Extract and spread borrower financial statements and tax returns into approved bank templates, normalize classifications, calculate ratios and cash flow, reconcile totals, and flag ambiguous mappings with source citations.",Commercial credit analyst / spreading team,new,Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Borrower statements and tax returns, OCR/document intelligence, approved spreading templates and taxonomy, calculation service, loan origination","Extraction and classification accuracy, statement and schedule tie-outs, ratio and cash-flow calculations, source citations, ambiguous-mapping escalation",No by default
cashflow-forecaster,Banking,"Build transparent base, upside, and downside cash-flow forecasts from transaction history and user assumptions, exposing uncertainty and key drivers.",Consumer / SMB owner / relationship manager,existing (updated),Artifact-creation skills,Model & calculate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Formula correctness, tie-outs, scenario behavior, assumption provenance, reproducibility",No by default
fee-and-charge-reviewer,Banking,"Identify, categorize, and explain account fees; compare them with disclosed terms; and draft questions or remediation requests without asserting legal violations.",Consumer / customer-service agent,existing (updated),Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
loan-affordability-precheck,Banking,"Estimate indicative affordability from disclosed income, expenses, and debt; show assumptions and stress cases; and explicitly avoid credit approval or adverse-action decisions.",Consumer / loan officer,existing (updated),Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — stabilize existing,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
customer-onboarding-document-checker,Banking,"Check onboarding packages for required documents, data consistency, expiration, signatures, and unresolved exceptions before human approval.",Onboarding specialist / branch or operations associate,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
credit-application-packager,Banking,"Organize borrower financials, collateral, application data, approvals, and underwriting open items into a source-linked credit package; formal pre-underwriting or closing completeness certification is handled separately.",Commercial or consumer credit analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Package assembly completeness, source mapping, borrower/entity consistency, approval and condition capture, explicit handoff to formal completeness checking",No by default
loan-package-completeness-checker,Banking,"Verify underwriting and closing packages against product, policy, approval, collateral, legal, signature, expiration, and jurisdiction checklists; identify inconsistencies, outstanding conditions, and exceptions before human certification.",Loan operations / underwriter / closer,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Loan origination/closing system, product and jurisdiction checklists, approvals, collateral/legal documents, conditions, signatures and expiration data","Checklist and condition coverage, cross-document consistency, signature/expiration accuracy, exception severity, false negatives, human certification",No by default
credit-memo-drafter,Banking,"Draft commercial credit memoranda from approved financial spreads, borrower statements and tax returns, collateral, covenants, risk ratings, policy requirements, and source documents; include repayment analysis, exceptions, mitigants, and citation-linked evidence for underwriter approval.",Commercial credit analyst / relationship manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Loan origination, approved financial spreads, borrower statements and tax returns, credit policy, covenant and collateral documents, CRM, calculation service","Source-to-memo traceability, spread tie-outs, repayment calculations, policy and exception coverage, covenant accuracy, unsupported-assertion checks",No by default
covenant-compliance-monitor,Banking,"Extract covenant definitions and calculation mechanics from credit agreements, calculate tests from approved data, reconcile compliance certificates, track headroom and trends, and escalate potential breaches with an audit-ready evidence trail.",Portfolio manager / credit operations / credit risk,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Credit agreements, covenant parser, compliance certificates, approved financial spreads, loan servicing, document intelligence, calculation service","Clause and formula extraction, certificate reconciliation, calculation accuracy, data freshness, threshold behavior, breach precision/recall, audit trail",Yes — read-only monitoring only
loan-servicing-exception-resolver,Banking,"Investigate servicing exceptions, identify root cause and permissible remedies, and stage a correction plan for authorized approval and execution.",Loan operations / servicing specialist,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
collections-treatment-planner,Banking,"Recommend compliant, customer-appropriate outreach and treatment options using delinquency context, vulnerability indicators, policies, and human review.",Collections specialist / hardship team,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
commercial-cash-management-advisor,Banking,"Analyze operating cash flows and recommend treasury services, liquidity structures, and implementation questions without making binding product decisions.",Treasury-management officer / commercial banker,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Core banking, CRM, document intelligence, loan origination/servicing, product terms, approved calculation service","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
relationship-manager-client-briefer,Banking,"Assemble a commercial relationship-manager brief covering exposures, products, profitability, covenant status, recent news, service issues, pipeline, contacts, cross-sell context, source dates, and open actions.",Commercial relationship manager / portfolio manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Commercial CRM, core banking and loan exposures, profitability, covenant status, service cases, product holdings, news, pipeline and contact data","Client/entity resolution, exposure and covenant freshness, source completeness, relationship-history fidelity, action and issue coverage",No by default
corporate-action-interpreter,Capital Markets,"Interpret event terms, dates, options, tax or position implications, and required actions using authoritative notices; flag ambiguity for operations review.",Retail investor / corporate-actions analyst,existing (updated),Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
portfolio-holdings-summarizer,Capital Markets,Summarize portfolio holdings.,Retail investor,existing (no changes),Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R1 — informational,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
